"","x"
"1",1.3434679386427
"2",1.12655602221222
"3",1.2423575936771
"4",1.11310863953306
"5",1.10626552291769
"6",3.12896232087956
"7",1.18816289205142
"8",1.11192877555805
"9",1.18027943942462
"10",1.21730978631964
"11",1.10446575767259
"12",1.21886673559434
"13",1.14701840495438
"14",1.17367050309374
"15",1.94995586637641
"16",1.11101663986409
"17",1.40075709506671
"18",3.30414838499655
"19",1.30160377589774
"20",1.10471820399024
"21",1.11228753207377
"22",1.14381754372277
"23",1.15543923114767
"24",1.10057060237252
"25",1.15187147581967
"26",1.14065652082072
"27",1.18269685982394
"28",1.16744455168854
"29",1.34160711640618
"30",1.66696950453752
"31",1.10380081820622
"32",1.11071524564453
"33",1.14425008057825
"34",1.12542776038606
"35",4.91646659019362
"36",1.20776945456064
"37",1.13148578245729
"38",1.45514037578395
"39",1.31074326876419
"40",1.42552380090933
"41",1.68691452146017
"42",1.23913355164549
"43",1.23960396610298
"44",1.268452157993
"45",1.64387199888325
"46",1.70648111416059
"47",1.42297758308309
"48",1.21299304649466
"49",1.37108068690088
"50",1.11639666073049
"51",3.11632934893277
"52",1.22432230777894
"53",1.12489032182532
"54",1.80343257572258
"55",1.17725214265183
"56",1.47668514339006
"57",1.76829278192577
"58",1.13237604593574
"59",1.11160359211647
"60",1.26446467506728
"61",1.14974407043342
"62",2.03009353516976
"63",1.25798071581633
"64",1.35981641307797
"65",1.12250469159192
"66",1.22119432946698
"67",1.12318979464457
"68",1.12284069661773
"69",1.12560365451824
"70",1.22551823737854
"71",1.13217326515434
"72",1.1581993351726
"73",1.14033257970537
"74",149.78255103018
"75",1.2088424854951
"76",1.44754257046008
"77",1.26077352312207
"78",1.16240366866309
"79",1.28132906311136
"80",1.8804414554768
"81",1.40477701433034
"82",1.14909149534597
"83",1.23737583090988
"84",1.12657339833156
"85",1.95050483034696
"86",1.22805388032086
"87",1.10151204155751
"88",1.11185034040188
"89",1.11267257897168
"90",1.5614847049112
"91",1.74987494046843
"92",1.15247097044387
"93",1.28804335074071
"94",1.15163053837094
"95",1.30863791082225
"96",1.52403784175973
"97",1.12751876337741
"98",2.04366662384467
"99",1.21262411882837
"100",1.19420797309013
"101",1.1658288694228
"102",1.29720451991296
"103",1.20321483011019
"104",1.10472144341837
"105",1.20559404601931
"106",1.11218627583404
"107",1.10925995963975
"108",1.16346973784942
"109",1.24135678543353
"110",1.66705460708546
"111",1.10684680535397
"112",1.32805293294521
"113",2.60183570351474
"114",1.10545955023573
"115",1.13832446468876
"116",1.68933166341727
"117",1.18097820226513
"118",1.10476302068085
"119",1.16989617933468
"120",1.24500708802373
"121",1.1536845076223
"122",1.30916592862513
"123",1.32120070951262
"124",1.44825078847162
"125",1.2679893093049
"126",1.1015873818963
"127",1.6366055811715
"128",2.07261589428998
"129",1.69119479449678
"130",1.1443945927534
"131",1.16071956574733
"132",1.1120561966089
"133",1.14800714944604
"134",1.13526173571395
"135",1.19065433586515
"136",1.15092967427357
"137",1.12144708815339
"138",1.12687849940878
"139",1.10203876607542
"140",1.22572156267413
"141",1.31713753995441
"142",1.24206573894793
"143",10.1320327675495
"144",1.53487825301632
"145",1.11846120204587
"146",1.42636947535194
"147",1.41235173494911
"148",2.27119605854992
"149",1.40134496091808
"150",1.1361657958808
